Ticker,EPS_2021,EPS_2022
DOGZ,1.0,0.31
DOMH,-1.48,-4.91
DOMO,,-3.19
DOOO,,9.31
DORM,4.12,3.85
DOX,5.32,4.44
DOYU,-15.51,-2.36
DPRO,-14.75,-20.34
DPZ,13.54,12.53
DRCT,-0.376774,0.17
DRDB,,
DRDBW,,
DRIO,-4.07,-2.54
DRMA,-583.2,-208.8
DRRX,-1.6,-1.55
DRS,0.73,1.88
DRTS,-0.403289,-0.53
DRTSW,,
DRUG,-4.82,-6.06
DRVN,0.06,0.25
DSGN,-0.77,-1.14
DSGR,0.501963,0.208737
DSGX,,1.0
DSP,-0.63,-0.84
DSWL,0.51,0.52
DSY,,-0.033156
DSYWW,,
DTCK,0.193118,0.189625
DTI,0.106772,1.071274
DTIL,-15.6,-38.1
DTSQ,,
DTSQR,,
DTSS,-3.3,-4.05
DTST,0.03,-0.64
DTSTW,,
DUO,-3262.499592,-660.4
DUOL,-2.57,-1.51
DUOT,-1.63,-1.11
DVAX,0.57,1.97
DVLT,-15779.999921,-12433.499938
DWSN,-1.23,-0.86
DWTX,-48.0,-27.75
DXCM,0.3875,0.82
DXLG,,0.83
DXPE,0.83,2.47
DXR,1.17,0.87
DXST,0.031809,0.022919
DYAI,-0.47,-0.34
DYCQ,,
